Arestas na MST:
197 - 687: 1
318 - 702: 1
623 - 383: 1
412 - 273: 1
547 - 395: 1
916 - 901: 1
704 - 293: 1
921 - 920: 1
237 - 807: 1
468 - 469: 1
192 - 893: 1
385 - 427: 1
578 - 101: 1
745 - 887: 1
434 - 203: 1
72 - 16: 1
168 - 888: 1
930 - 273: 1
456 - 169: 1
238 - 769: 1
973 - 974: 1
860 - 591: 1
280 - 312: 1
788 - 536: 1
214 - 838: 1
418 - 965: 1
301 - 302: 1
649 - 650: 1
181 - 444: 1
573 - 574: 1
967 - 600: 1
202 - 700: 1
327 - 603: 1
723 - 722: 1
160 - 718: 1
677 - 678: 1
152 - 268: 1
2 - 1: 1
973 - 822: 2
347 - 592: 2
120 - 293: 2
786 - 140: 2
272 - 118: 2
272 - 271: 2
118 - 597: 2
383 - 381: 2
296 - 297: 2
929 - 996: 2
103 - 80: 2
994 - 953: 2
710 - 112: 2
785 - 704: 2
2 - 825: 2
192 - 639: 2
477 - 792: 2
961 - 611: 2
219 - 943: 2
493 - 149: 2
536 - 376: 2
725 - 724: 2
245 - 21: 2
99 - 469: 2
36 - 605: 2
419 - 411: 2
346 - 928: 2
103 - 49: 2
28 - 413: 2
248 - 794: 2
404 - 177: 2
573 - 732: 2
264 - 924: 2
428 - 427: 2
550 - 549: 2
218 - 87: 2
757 - 756: 2
940 - 338: 2
796 - 797: 2
465 - 888: 2
186 - 499: 2
198 - 926: 2
792 - 307: 3
731 - 732: 3
983 - 816: 3
822 - 207: 3
736 - 201: 3
738 - 386: 3
265 - 584: 3
780 - 604: 3
411 - 746: 3
383 - 334: 3
591 - 937: 3
614 - 569: 3
518 - 519: 3
126 - 719: 3
129 - 544: 3
114 - 615: 3
389 - 577: 3
333 - 190: 3
381 - 713: 3
504 - 250: 3
260 - 261: 3
914 - 259: 3
339 - 300: 3
392 - 391: 3
23 - 811: 3
917 - 985: 3
757 - 849: 3
107 - 288: 3
74 - 61: 3
441 - 24: 3
34 - 314: 3
308 - 56: 3
806 - 998: 3
770 - 771: 3
561 - 978: 3
339 - 977: 3
424 - 423: 3
413 - 412: 3
70 - 17: 3
7 - 6: 3
750 - 275: 3
236 - 942: 3
300 - 211: 3
663 - 272: 3
964 - 965: 3
88 - 89: 3
495 - 301: 4
