Arestas na MST:
15 - 28: 1
39 - 7: 1
46 - 47: 1
22 - 8: 1
1 - 26: 1
49 - 11: 1
39 - 35: 2
14 - 49: 2
33 - 9: 2
29 - 47: 2
46 - 38: 3
22 - 43: 3
40 - 26: 3
6 - 36: 4
30 - 32: 4
16 - 22: 4
4 - 15: 5
19 - 14: 5
25 - 19: 6
45 - 24: 6
39 - 31: 6
38 - 20: 6
8 - 7: 6
18 - 28: 6
10 - 11: 6
23 - 42: 6
15 - 16: 6
34 - 27: 7
0 - 39: 7
41 - 10: 7
23 - 24: 7
29 - 31: 7
6 - 19: 8
32 - 36: 8
49 - 5: 8
35 - 36: 8
24 - 49: 8
41 - 40: 9
4 - 3: 10
2 - 1: 10
18 - 33: 11
8 - 48: 11
10 - 27: 11
12 - 11: 12
21 - 11: 14
44 - 30: 14
48 - 37: 15
45 - 13: 16
19 - 17: 18
Peso total da MST: 325
