Arestas na MST:
101 - 578: 1
603 - 327: 1
722 - 723: 1
967 - 600: 1
202 - 700: 1
395 - 547: 1
965 - 418: 1
293 - 704: 1
273 - 930: 1
677 - 678: 1
887 - 745: 1
536 - 788: 1
1 - 2: 1
181 - 444: 1
649 - 650: 1
468 - 469: 1
412 - 273: 1
573 - 574: 1
238 - 769: 1
718 - 160: 1
168 - 888: 1
16 - 72: 1
301 - 302: 1
268 - 152: 1
197 - 687: 1
893 - 192: 1
214 - 838: 1
427 - 385: 1
920 - 921: 1
973 - 974: 1
434 - 203: 1
456 - 169: 1
860 - 591: 1
280 - 312: 1
623 - 383: 1
807 - 237: 1
702 - 318: 1
916 - 901: 1
376 - 536: 2
973 - 822: 2
404 - 177: 2
724 - 725: 2
785 - 704: 2
149 - 493: 2
639 - 192: 2
549 - 550: 2
219 - 943: 2
140 - 786: 2
796 - 797: 2
49 - 103: 2
186 - 499: 2
296 - 297: 2
383 - 381: 2
611 - 961: 2
264 - 924: 2
218 - 87: 2
888 - 465: 2
118 - 272: 2
271 - 272: 2
929 - 996: 2
80 - 103: 2
118 - 597: 2
756 - 757: 2
338 - 940: 2
994 - 953: 2
573 - 732: 2
198 - 926: 2
419 - 411: 2
99 - 469: 2
592 - 347: 2
21 - 245: 2
293 - 120: 2
710 - 112: 2
477 - 792: 2
346 - 928: 2
36 - 605: 2
248 - 794: 2
28 - 413: 2
825 - 2: 2
427 - 428: 2
411 - 746: 3
6 - 7: 3
811 - 23: 3
584 - 265: 3
736 - 201: 3
713 - 381: 3
849 - 757: 3
17 - 70: 3
914 - 259: 3
383 - 334: 3
339 - 300: 3
308 - 56: 3
34 - 314: 3
412 - 413: 3
569 - 614: 3
806 - 998: 3
977 - 339: 3
107 - 288: 3
333 - 190: 3
126 - 719: 3
423 - 424: 3
738 - 386: 3
260 - 261: 3
615 - 114: 3
24 - 441: 3
544 - 129: 3
561 - 978: 3
207 - 822: 3
236 - 942: 3
663 - 272: 3
577 - 389: 3
604 - 780: 3
211 - 300: 3
275 - 750: 3
917 - 985: 3
88 - 89: 3
731 - 732: 3
61 - 74: 3
591 - 937: 3
792 - 307: 3
816 - 983: 3
770 - 771: 3
518 - 519: 3
250 - 504: 3
391 - 392: 3
964 - 965: 3
352 - 864: 4
761 - 268: 4
234 - 235: 4
387 - 92: 4
709 - 975: 4
687 - 688: 4
397 - 398: 4
725 - 726: 4
675 - 446: 4
280 - 994: 4
697 - 535: 4
243 - 274: 4
879 - 128: 4
301 - 495: 4
205 - 468: 4
335 - 614: 4
488 - 848: 4
68 - 182: 4
337 - 365: 4
85 - 269: 4
400 - 572: 4
430 - 201: 4
857 - 858: 4
267 - 268: 4
273 - 265: 4
892 - 249: 4
659 - 161: 4
594 - 671: 4
945 - 946: 5
161 - 389: 5
181 - 62: 5
484 - 10: 5
735 - 791: 5
159 - 495: 5
885 - 525: 5
373 - 59: 5
578 - 672: 5
532 - 533: 5
530 - 531: 5
374 - 710: 5
937 - 391: 5
660 - 245: 5
314 - 5: 5
654 - 625: 5
974 - 975: 5
357 - 358: 5
321 - 401: 5
51 - 927: 5
691 - 656: 5
514 - 946: 5
207 - 208: 5
933 - 77: 5
420 - 421: 5
496 - 177: 5
984 - 474: 5
296 - 569: 5
980 - 430: 5
934 - 50: 5
978 - 849: 5
174 - 734: 5
358 - 928: 5
260 - 473: 5
899 - 827: 5
335 - 744: 5
362 - 538: 5
162 - 163: 5
839 - 546: 5
174 - 838: 5
178 - 9: 5
516 - 947: 5
823 - 924: 5
687 - 301: 5
26 - 27: 5
255 - 256: 6
576 - 816: 6
339 - 340: 6
788 - 789: 6
270 - 271: 6
458 - 227: 6
197 - 645: 6
478 - 479: 6
551 - 552: 6
520 - 83: 6
608 - 609: 6
727 - 378: 6
629 - 630: 6
758 - 759: 6
601 - 591: 6
456 - 881: 6
261 - 262: 6
443 - 444: 6
55 - 989: 6
717 - 718: 6
386 - 387: 6
772 - 587: 6
860 - 943: 6
75 - 805: 6
119 - 579: 6
985 - 552: 6
90 - 793: 6
976 - 606: 6
437 - 231: 6
473 - 749: 6
390 - 622: 6
457 - 955: 6
499 - 961: 6
772 - 895: 6
827 - 942: 6
63 - 64: 6
518 - 612: 6
472 - 790: 6
200 - 201: 6
38 - 39: 6
691 - 234: 6
874 - 875: 6
929 - 512: 7
990 - 268: 7
615 - 616: 7
101 - 102: 7
632 - 633: 7
638 - 639: 7
526 - 303: 7
899 - 424: 7
836 - 617: 7
466 - 377: 7
663 - 664: 7
752 - 847: 7
590 - 154: 7
97 - 98: 7
864 - 241: 7
848 - 26: 7
28 - 299: 7
988 - 761: 7
142 - 979: 7
584 - 828: 7
526 - 652: 7
982 - 15: 7
414 - 376: 7
260 - 626: 7
291 - 829: 7
142 - 143: 7
42 - 394: 7
279 - 423: 7
252 - 253: 7
969 - 350: 7
22 - 759: 7
622 - 347: 7
836 - 837: 7
259 - 260: 7
956 - 346: 7
901 - 74: 7
70 - 617: 7
906 - 19: 8
362 - 363: 8
386 - 414: 8
923 - 287: 8
743 - 744: 8
984 - 529: 8
941 - 802: 8
18 - 883: 8
516 - 267: 8
622 - 451: 8
353 - 436: 8
180 - 322: 8
904 - 905: 8
704 - 875: 8
434 - 28: 8
401 - 693: 8
50 - 643: 8
187 - 285: 8
215 - 412: 8
327 - 212: 8
912 - 991: 8
780 - 78: 8
838 - 747: 8
341 - 664: 8
691 - 692: 8
531 - 183: 8
409 - 365: 8
215 - 476: 8
179 - 331: 8
716 - 408: 8
112 - 167: 8
166 - 167: 8
727 - 728: 8
272 - 956: 8
967 - 547: 9
34 - 592: 9
415 - 416: 9
601 - 977: 9
141 - 346: 9
406 - 95: 9
875 - 386: 9
908 - 909: 9
779 - 780: 9
35 - 742: 9
46 - 697: 9
595 - 195: 9
504 - 940: 9
893 - 430: 9
854 - 971: 9
4 - 804: 9
843 - 131: 9
797 - 456: 9
60 - 893: 9
192 - 724: 9
920 - 878: 9
552 - 504: 9
231 - 61: 9
195 - 686: 9
185 - 186: 9
172 - 173: 9
182 - 183: 9
885 - 312: 9
281 - 282: 9
563 - 577: 9
275 - 276: 10
34 - 747: 10
405 - 406: 10
204 - 877: 10
838 - 774: 10
987 - 10: 10
840 - 359: 10
561 - 677: 10
971 - 927: 10
157 - 158: 10
601 - 602: 10
855 - 515: 10
419 - 420: 10
290 - 302: 10
129 - 314: 10
600 - 913: 10
817 - 818: 10
486 - 993: 10
390 - 331: 10
912 - 845: 10
91 - 92: 10
286 - 515: 10
423 - 437: 10
855 - 426: 10
679 - 763: 10
177 - 80: 10
850 - 883: 10
71 - 72: 10
767 - 768: 10
747 - 748: 10
592 - 692: 10
287 - 336: 10
581 - 340: 10
897 - 836: 10
246 - 625: 10
665 - 666: 10
997 - 998: 10
312 - 831: 10
711 - 712: 10
541 - 542: 10
540 - 541: 10
234 - 667: 11
575 - 144: 11
81 - 312: 11
534 - 282: 11
506 - 491: 11
687 - 304: 11
983 - 975: 11
296 - 53: 11
620 - 265: 11
391 - 156: 11
804 - 751: 11
18 - 19: 11
853 - 560: 11
817 - 378: 11
888 - 324: 11
350 - 823: 11
464 - 729: 11
586 - 587: 11
435 - 489: 11
795 - 333: 11
20 - 791: 11
25 - 327: 11
45 - 60: 11
437 - 208: 11
359 - 361: 11
641 - 642: 11
903 - 904: 11
295 - 595: 11
135 - 136: 11
495 - 974: 11
901 - 902: 11
224 - 184: 11
881 - 882: 11
356 - 237: 11
244 - 133: 11
178 - 261: 11
384 - 977: 11
908 - 339: 11
549 - 749: 12
569 - 861: 12
684 - 769: 12
531 - 518: 12
390 - 818: 12
721 - 778: 12
520 - 812: 12
643 - 644: 12
658 - 659: 12
486 - 562: 12
147 - 306: 12
185 - 101: 12
347 - 348: 12
829 - 832: 12
531 - 49: 12
841 - 842: 12
144 - 905: 12
648 - 649: 12
603 - 404: 12
85 - 957: 12
23 - 379: 12
169 - 170: 12
387 - 388: 12
667 - 12: 12
480 - 586: 12
308 - 606: 12
228 - 491: 12
831 - 660: 12
81 - 684: 12
11 - 12: 12
698 - 915: 12
689 - 690: 12
958 - 844: 12
179 - 180: 12
684 - 685: 12
927 - 928: 12
239 - 422: 13
131 - 431: 13
564 - 510: 13
871 - 909: 13
622 - 233: 13
454 - 148: 13
163 - 713: 13
956 - 957: 13
