Arestas na MST:
8028 - 3642: 1
9333 - 6342: 1
904 - 630: 1
9480 - 7136: 1
6651 - 5386: 1
4097 - 3480: 1
4410 - 8177: 1
4286 - 4287: 1
4912 - 6676: 1
7959 - 5722: 1
2084 - 460: 1
6322 - 1671: 1
3806 - 9827: 1
6792 - 267: 1
1255 - 3249: 1
9809 - 2372: 1
3520 - 8535: 1
5128 - 3024: 1
6184 - 1960: 1
902 - 9582: 1
6735 - 9546: 1
5347 - 3701: 1
7026 - 7027: 1
3390 - 8319: 1
6366 - 6886: 1
7472 - 6261: 1
7826 - 7602: 1
9664 - 4874: 1
4118 - 4119: 1
4601 - 9795: 1
6684 - 6685: 1
4515 - 4516: 1
1121 - 5018: 1
3205 - 8552: 1
6783 - 6784: 1
4505 - 4506: 1
4484 - 4485: 1
8565 - 7170: 1
4313 - 8475: 1
6240 - 6048: 1
5214 - 5106: 1
3029 - 212: 1
3426 - 2354: 1
4614 - 6703: 1
8268 - 1644: 1
4379 - 4380: 1
4263 - 3808: 1
4530 - 8863: 1
4357 - 4358: 1
6857 - 6858: 1
7880 - 4065: 1
8821 - 2521: 1
4870 - 9986: 1
4326 - 4327: 1
4299 - 4300: 1
4985 - 878: 1
8460 - 3203: 1
5533 - 8296: 1
9869 - 1916: 1
3725 - 182: 1
2437 - 9006: 1
4776 - 4220: 1
3723 - 9893: 1
2369 - 8542: 1
1749 - 5339: 1
2066 - 7680: 1
344 - 8819: 1
3528 - 3529: 1
7242 - 8878: 1
4540 - 4180: 1
4054 - 6213: 1
3569 - 9704: 1
5557 - 8028: 1
6857 - 4687: 1
652 - 5426: 1
8949 - 3283: 1
777 - 778: 1
3475 - 8013: 1
5582 - 1431: 1
2224 - 2131: 1
491 - 6202: 1
3368 - 7791: 1
7351 - 1126: 1
3650 - 711: 1
1170 - 1171: 1
3423 - 3424: 1
1496 - 1893: 1
6420 - 5561: 1
7112 - 7113: 1
3407 - 6785: 1
4488 - 945: 1
9046 - 3437: 1
8940 - 4655: 1
747 - 1223: 1
8402 - 6136: 1
3954 - 3955: 1
3586 - 2479: 1
7457 - 5081: 1
5317 - 8058: 1
5788 - 5184: 1
5338 - 300: 1
5818 - 580: 1
6056 - 1549: 1
8494 - 8131: 1
5394 - 227: 1
7258 - 7259: 1
3150 - 9058: 1
7347 - 7348: 1
3749 - 3750: 1
6441 - 1550: 1
2645 - 6683: 1
5393 - 7276: 1
3703 - 3704: 1
3693 - 3694: 1
3671 - 3672: 1
9763 - 4047: 1
5262 - 5263: 1
5433 - 5434: 1
4283 - 9802: 1
2073 - 9122: 1
